gene	baseMean	log2FoldChange	stat	pvalue	padj	Ch14_1	Ch14_2	Ch14_3	EP08_1	EP08_2	EP08_3	Se17_1	Se17_2	Se17_3	condition	transcript	name	uniprot_id	uniprot_taxa	identity_Blastx	evalue_Blastx	pfam	symbol_pfam	evalue_pfam
G4665	18736.0574991373	-0.902673331727189	-3.361949169944	0.000773943689417012	0.0430239971774571	13.8137616209868	13.63324322919	14.0314963648243	14.7068794158792	14.8467012664836	14.8396276160194	13.5099928061493	13.5362842493674	13.5469593091326	Se	NA	NA	NA	NA	NA	NA	NA	NA	NA
G4930	64.9749255738677	3.45498103833468	3.90870204914809	9.27933220494916e-05	0.00764783170682526	6.24589016066377	6.25061514117325	5.97927502030577	4.91565145375959	4.91015825939622	4.91951894668135	5.89637211465545	5.58658544648496	5.84300702760505	Se	transcript:G4930.1	Neural cell adhesion molecule L1	L1CAM	RAT	25.505	8.36e-22	PF13927	Ig_3	1.3e-09
G5134	58.4449875973616	3.83525276285626	4.3937226175646	1.11425973044337e-05	0.00151301858151843	6.00033888053768	5.7542392351023	6.00710260439073	4.89713082294716	4.8925150602152	4.90038657411563	5.63144808255757	5.7792579963835	5.9449780258187	Se	transcript:G5134.1	Tyrosine-protein kinase SYK	KSYK	CHICK	40.37	1.11e-55	PF07714	PK_Tyr_Ser-Thr	1.3e-75
G5065	136.564448735033	-22.5776650421574	-6.4176579165015	1.38386781605231e-10	1.14625771203613e-07	2.43121333692886	4.21061374855753	2.70022968622054	2.82358434366795	2.67597980606028	18.3138153521168	2.40714132374804	2.37024218351308	2.46097100506307	Se	NA	NA	NA	NA	NA	NA	PF01549	ShK	0.67
G5331	47.4374797455129	12.0105824043937	3.50871835676657	0.000450271448157384	0.0273230652387371	5.42067682960932	3.98167146990475	3.99131738903608	3.99616033349019	3.99045821286803	4.00015143397633	5.82396521045765	5.42465616903242	3.98397756575698	Se	transcript:G5331.1	Fatty acyl-CoA reductase 1	FACR1	MOUSE	55.469	0	PF07993	NAD_binding_4	3.7e-74
G5337	52.8474038841081	3.65918573529003	3.60766620085724	0.000308963624030333	0.020473165582746	5.97133355104352	5.39155098762683	5.86862356275856	4.79607086658198	4.79195667931	4.79897506346493	5.61318603649848	5.73455800855022	5.41946202393675	Se	transcript:G5337.2	Heat shock 70 kDa protein 12A	HS12A	HUMAN	34.578	2.03e-104	PF00012	HSP70	1.7e-05
G5662	67.562718374132	4.10739637489027	3.81444303821341	0.00013649041371478	0.010645282681926	6.05397046328636	6.35110854531812	5.60800760873376	4.89175390781301	4.8857894058212	4.89594863408723	5.76411816989796	5.7269258269617	6.37132239280098	Se	transcript:G5662.5	Transcription initiation factor TFIID subunit 8	TAF8	XENLA	46.575	4.47e-61	PF10406	TAF8_C	4.2e-20
G5713	48.2260539230318	3.50871908636033	3.51141420376126	0.000445729313242037	0.0272470546242346	5.49789203423406	5.63164394969976	5.82335303035553	4.74736733282272	4.74384038336233	4.74986110652267	5.36152928683078	5.25122534693691	5.6913378338426	Se	transcript:G5713.1	Nuclear receptor ROR-alpha A	RORAA	DANRE	26.295	2.95e-30	PF00105	zf-C4	5.2e-26
G5736	139.103553421143	-22.1660618778989	-6.28759418799055	3.22423397958046e-10	2.05433308098961e-07	2.26612224240955	1.14381112427847	1.32162482046553	1.38316210522925	1.30926680674872	7.00615316170482	1.16667163966564	1.14633263918206	1.19602317138507	Se	NA	NA	NA	NA	NA	NA	NA	NA	NA
G5870	107.526136188771	4.15827297765516	5.45680762052778	4.84771079747941e-08	1.54436878982777e-05	6.87835108214826	6.70087947261671	7.02231181082676	5.09618053191405	5.08442100437041	5.10436533655035	6.60304938300935	6.56299388920231	6.67940897167732	Se	transcript:G5870.1	Cytochrome P450 2B4	CP2B4	RABIT	29.505	7.18e-53	PF00067	p450	1.6e-90
G5885	557.746252488422	4.41921620796805	4.47493519929352	7.64344905847118e-06	0.00113054800984494	8.28369443330288	10.3019368342085	9.53544022525522	4.1436655029733	4.00487706827176	4.22735002155371	8.48067096303271	8.71753644208315	7.60921019964396	Se	NA	NA	NA	NA	NA	NA	PF01549	ShK	0.04
G5904	69.0085053673678	3.56368299995798	4.43553485131404	9.18439708547032e-06	0.00128939595015171	6.27725653309778	6.22400550540999	6.27341222561461	4.96581363397367	4.95990476427339	4.96997113641224	6.01473036075939	5.79515334370569	5.87399233249881	Se	transcript:G5904.1	Ankyrin repeat and death domain-containing protein 1A	AKD1A	HUMAN	31.466	3.16e-15	PF12796	Ank_2	7.3e-07
G6107	36.1111151806923	3.74603756152375	4.34309673807629	1.40488234054769e-05	0.00173875236858202	5.19003711798243	5.07968980852695	5.25492811317295	4.56858320864917	4.56622648200408	4.57025371456288	5.16860049062475	5.18767704024462	5.18119825774656	Se	transcript:G6107.1	PHD finger protein 21A	PF21A	HUMAN	36.749	2.67e-47	PF00628	PHD	7.3e-12
G6544	102.638449884147	3.53771069507395	3.62067835480369	0.00029383161605152	0.0196274780302802	6.77428983192178	6.2984839591862	7.31993698903328	4.94679833652064	4.93494025487907	4.95504514117834	6.2266522851273	6.39351020857383	6.09512588180036	Se	transcript:G6544.2	Protein hunchback	HUNB	BOMMO	64.474	9.07e-61	PF00096	zf-C2H2	0.0034
G6585	43.4846550738914	3.41128579202054	3.34142205171943	0.000833504166840355	0.0457212914830375	5.68576352446709	5.54991259015638	5.22199698288073	4.66789831844738	4.66481037358483	4.67008342878395	5.2402545774312	5.17589470577936	5.4698337321145	Se	NA	NA	NA	NA	NA	NA	NA	NA	NA
G6718	107.615100880436	4.29865607634311	4.90901738118537	9.15338662659889e-07	0.000199519740600312	6.86579357348279	6.3388571465283	7.10993766429829	5.06738503418882	5.055398252195	5.07572329977875	6.70541348672517	6.52690778040777	6.72547114976265	Se	NA	NA	NA	NA	NA	NA	NA	NA	NA
G6824	16.2707115342766	3.9437524159636	3.37168154305777	0.00074710781321316	0.041954535707421	3.86799079812409	3.84628879005052	3.98670956629968	3.72460575051643	3.7238670766758	3.72513175860704	4.13945559282537	3.94455894738377	4.09948113132178	Se	transcript:G6824.1	Ras-related protein Rab-11A	RB11A	CHICK	64.593	1.62e-92	PF00071	Ras	3.4e-56
G6859	32597.8653938498	-1.31576615580056	-3.5647261549466	0.000364236276230649	0.0233471937778213	14.8336232634642	14.979921553538	15.5974298124924	15.0308752093842	15.3978832580421	15.5059479648312	14.0455068129871	14.2062689134119	14.0652456845662	Se	transcript:G6859.3	Nascent polypeptide-associated complex subunit alpha	NACA	ORENI	71.622	2.57e-71	PF01849	NAC	2.7e-23
G6895	28.0255580417267	3.73263613592141	3.96992981086472	7.18938073466209e-05	0.00632598581150234	4.79501107871275	4.65876595216929	4.87024196291598	4.33314523484697	4.33148504263538	4.33432424949984	4.84891802453944	4.82762109563223	4.83516476372944	Se	transcript:G6895.3	Glycosyltransferase-like domain-containing protein 1	GTDC1	DANRE	51.675	1.49e-149	PF12038	DUF3524	5.7e-68
G7014	100.026279243908	3.98900507325805	4.31151771735949	1.62137779833545e-05	0.00191855318623036	6.77545356440269	6.53320703311449	6.96323176727355	5.03315115705421	5.02229736844506	5.04071442642473	5.96707409633298	6.56273383051287	6.6613111203741	Se	transcript:G7014.1	Protein argonaute-2	AGO2	HUMAN	72.684	0	PF02171	Piwi	5.4e-111
G7323	26.1354661880625	3.71793060530294	3.83366889122184	0.000126246050680636	0.00999627363802561	4.57174252375331	4.6456981130482	4.77888077828433	4.25801310898516	4.25647781076999	4.25910364869742	4.68138291862658	4.726601973684	4.79851995111376	Se	NA	NA	NA	NA	NA	NA	NA	NA	NA
G8125	202.527933174482	-24.9239233570893	-9.10469133703327	8.65120809949836e-20	1.4331591337629e-15	7.11722950944146	3.06252067150121	3.20731833342754	4.78585443238777	7.81015766203559	6.81896356809548	3.07917670022722	3.06433136498072	3.10136780938557	Se	transcript:G8125.1	Deleted in malignant brain tumors 1 protein	DMBT1	MOUSE	47.525	2.13e-20	PF00530	SRCR	5.6e-22
G8462	41.2659810704394	-22.1187715368085	-6.28922918599945	3.19046155311603e-10	2.05433308098961e-07	3.07099575344561	3.06980293912546	3.61653801496518	3.08076745661861	3.07649690631882	4.60440256362301	3.07054518770109	3.06988242921026	3.07157330496486	Se	NA	NA	NA	NA	NA	NA	NA	NA	NA
G8902	72.6269594003791	12.3809828913634	4.94759984741319	7.51341657109168e-07	0.000174002954355001	6.21121836970131	4.45667909583616	4.47159124706343	4.47903654340552	4.47026754003688	4.48515216165058	6.07979269692928	6.22329542612397	6.29535778600792	Se	transcript:G8902.1	Transformation/transcription domain-associated protein	TRRAP	DANRE	62.837	0	PF20206	Tra1_ring	0
G9013	39.8611434993971	-8.88689904886817	-4.22187996930335	2.42273122277925e-05	0.0026756643624374	5.50320689423202	5.33186498885992	4.48397099727806	5.1979537558607	5.11097473726563	5.31258334805851	4.47946032424129	4.4790169703154	4.48015153960702	Se	NA	NA	NA	NA	NA	NA	NA	NA	NA
G9123	93.1109715291862	4.71002670704176	5.38487704317585	7.24941879305643e-08	2.26592210803345e-05	6.2016178941373	6.32048314951581	6.68210954735271	5.04757037226269	5.03807511291314	5.05420508246143	6.90113609085453	6.3644592250212	6.52235395775544	Se	NA	NA	NA	NA	NA	NA	NA	NA	NA
G9193	29.9046659028435	3.72441278559662	3.33759184985422	0.000845077855502854	0.0462003968607657	4.83760349660733	4.86615863587118	4.85827223505617	4.36312583988196	4.36131078295642	4.36441432245371	4.89826726984925	4.61259694209136	5.10739303818795	Se	transcript:G9193.1	Dymeclin	DYM	CHICK	51.556	0	PF09742	Dymeclin	7.2e-202
G9218	43.0382859291798	11.8262396453272	3.45241672445553	0.000555588942152095	0.0327540441839559	5.36256095811698	4.00441972190501	4.01236770682308	4.01637555732346	4.01165788646816	4.01968703121504	5.485910136628	4.00450456840253	5.48493533310677	Se	transcript:G9218.2	Tight junction protein ZO-1	ZO1	HUMAN	48.021	4.51e-93	PF00791	ZU5	3.3e-34
G9189	45.0471109404868	3.85530736921047	4.23758837196127	2.25933501775833e-05	0.00251195596672379	5.60131443294302	5.43136523240903	5.45302556161379	4.73316955019842	4.73001004548048	4.73540540873682	5.33150717084109	5.40784097637661	5.66207451717269	Se	transcript:G9189.1	Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase MESH1	MESH1	MOUSE	64.773	9.59e-67	PF13328	HD_4	4.4e-21
G9880	24.9701129200563	4.02415603287904	4.21460679637375	2.50213731920708e-05	0.00274506005496586	4.48638261073231	4.51120284902184	4.60148397402634	4.19561037741362	4.19414322318175	4.19665257801011	4.7985331061553	4.60949711206927	4.70446044582764	Se	NA	NA	NA	NA	NA	NA	NA	NA	NA
G9709	105.83036898272	3.78370418468338	3.96300296926095	7.40128608339666e-05	0.00641935629620676	6.88308364581242	6.61745247806163	7.14264889762851	4.9967800087615	4.98459873994497	5.00524694491436	5.97885287895586	6.29999105618324	6.76655954371524	Se	transcript:G9709.1	CTD small phosphatase-like protein 2	CTSL2	HUMAN	52.83	8.88e-113	PF03031	NIF	2.5e-52
G9963	93.5869812799032	4.37296316678394	4.7078262320645	2.50372387045547e-06	0.000457194061342724	6.83895738835105	6.21332667969198	6.49522505980031	5.03943638285712	5.02981145723222	5.04615982444423	6.82676398211074	6.21255409936414	6.39270166408401	Se	transcript:G9963.1	Protogenin B	PRTGB	DANRE	23.003	1.08e-06	NA	NA	NA
G10071	71.4847157498208	4.32597844031206	3.97352206807384	7.08175935312406e-05	0.00627360563870872	5.6073696122767	6.23503547562362	6.25849554072316	4.90760280078851	4.90103631529541	4.91221446602256	6.44648804310544	5.60147299750937	6.17393516628718	Se	transcript:G10071.1	Cartilage oligomeric matrix protein	COMP	HUMAN	57.81	0	PF05735	TSP_C	5.4e-93
G10079	74.8294531488739	12.0180015898645	4.56613769173406	4.96792516173346e-06	0.000783796649802634	6.38910541707396	4.18891327091327	4.20796474770222	4.21736735331666	4.20628562637537	4.22503918194532	4.96265066504161	6.04248515076803	6.53898101784437	Se	transcript:G10079.1	Sacsin	SACS	HUMAN	25.799	0	PF05168	HEPN	8.8e-08
G10095	74.3988828491633	3.93286572157174	4.70701836683505	2.5136626814817e-06	0.000457194061342724	6.29000101684041	6.17744332317764	6.43625540827739	5.00967634112702	5.00307778442991	5.01431250388962	5.91962737629466	6.26851133898422	6.10933964849143	Se	transcript:G10095.1	S phase cyclin A-associated protein in the endoplasmic reticulum	SCAPE	HUMAN	44.159	0	PF16501	SCAPER_N	5.3e-44
G10394	60.2733861573575	3.84889284989257	3.92679872187952	8.6083960731832e-05	0.00716616529388708	5.78313303481512	5.6832716886134	6.27956262179891	4.87604436432271	4.87110565720361	4.87952504675413	5.95792361087465	5.82159307387002	5.62261994952359	Se	transcript:G10394.1	Endonuclease 8-like 1	NEIL1	MOUSE	49.216	2.36e-95	PF09292	Neil1-DNA_bind	4.2e-22
G10472	45.9174518143037	4.0412059059528	4.77653680219136	1.78339926787725e-06	0.000355949304477764	5.47215362479237	5.39132395822817	5.60273494936538	4.75757319377621	4.75435363429198	4.75985140476595	5.51066916041933	5.49542800776592	5.64334878400308	Se	transcript:G10472.1	Tetratricopeptide repeat protein 7B	TTC7B	MOUSE	43.126	0	PF19440	TTC7_N	3.6e-99
G10474	133.069301503018	4.47523507923888	4.44272698598033	8.8825846087887e-06	0.00125768287717259	6.89384798669217	6.44679685605831	7.61331228521533	4.97766898581212	4.95972201673528	4.99001961409946	6.47733161915437	6.93288071575133	7.25493241877933	Se	transcript:G10474.1	Girdin	GRDN	HUMAN	41.583	0	PF19047	HOOK_N	2.9e-18
G10721	66.0991611493517	3.95302381023807	4.10607581112687	4.02437450099854e-05	0.00409004834254858	5.78811402686486	6.08184702631551	6.31196646785288	4.92880067871077	4.92318738766839	4.93275195403995	5.82134241384054	5.75134997303541	6.22542528719018	Se	NA	NA	NA	NA	NA	NA	NA	NA	NA
G10733	78.2979936432678	3.99658581361801	5.32977283328733	9.83356897460313e-08	2.91140856185418e-05	6.40631496719915	6.40603064541263	6.34499232493939	5.04723244802595	5.04019658268456	5.052172486391	6.21637585684282	6.22437491628456	6.1642365284831	Se	transcript:G10733.1	Ras GTPase-activating-like protein IQGAP1	IQGA1	HUMAN	52.494	0	PF00616	RasGAP	5.4e-52
G10802	13.4444926993539	-21.3310830307286	-6.05869273435069	1.37232248538734e-09	5.98260376129649e-07	3.87151562795874	3.00454579631742	3.00624914702712	3.00712086013891	3.0060956539595	3.55018151577832	3.00471429609197	3.00456380221458	3.00494905684775	Se	transcript:G10802.4	Gigasin-6	GIGA6	CRAGI	34.05	1.08e-30	PF00144	Beta-lactamase	7.6e-49
G10861	68.2053807834886	12.0987993670976	4.73855807043845	2.15244349146231e-06	0.000409854929650168	6.24439405972254	4.40903030683418	4.42308119252819	4.43009854719366	4.42183372357955	4.43586381853137	6.08579893241898	5.68112881546364	6.25975236398338	Se	transcript:G10861.5	Di-N-acetylchitobiase	DIAC	RAT	41.52	9.72e-98	PF00704	Glyco_hydro_18	4.8e-24
G11027	35.5731618735989	3.87681463295795	4.26976733770137	1.9567698048044e-05	0.0022355757645786	5.10823043174883	5.11980181887405	5.128502087031	4.54482668090409	4.54249897303392	4.54647663252168	5.1064160485923	5.06702032726887	5.33692007552343	Se	transcript:G11027.1	Nuclear valosin-containing protein-like	NVL	HUMAN	67.477	1.28e-146	PF00004	AAA	1.2e-47
G11082	33.791917678858	-22.258906451665	-6.33123322428225	2.43209391837303e-10	1.67875282715699e-07	4.44260779990477	3.26692769331542	3.27149449720504	3.27378489947792	3.27108797835467	4.02352963457645	3.26738497998262	3.26697661799801	3.26802003805888	Se	NA	NA	NA	NA	NA	NA	NA	NA	NA
G11145	51.9705852757855	3.99348230891429	3.79348722403447	0.000148546277430769	0.0113926742218432	5.3668256250415	5.46791254747715	6.01494360084576	4.78083399659506	4.7769032069922	4.78361106525871	5.4696608105399	5.6493159253037	5.82235757389838	Se	transcript:G11145.2	Ribosome biogenesis protein SPATA5L1	SPA5L	RAT	42.605	4.87e-171	PF00004	AAA	1.5e-39
G11169	50.6678160665251	4.18435303300139	4.09579999820796	4.20713028140229e-05	0.00424971464888477	5.45949653883282	5.27572842932573	5.88983230924398	4.77087145398504	4.76702133318853	4.77359116701011	5.83954297324251	5.62439725822285	5.55226649903716	Se	NA	NA	NA	NA	NA	NA	PF05049	IIGP	4.2e-06
G11178	44.2283875126309	11.7499921806821	3.42922990072592	0.000605296568087224	0.0348171630101838	5.42857651619169	3.97142889956372	3.9799691404953	3.98426804446108	3.97920724732156	3.9878162458147	3.97228221963171	5.70393152193538	5.20976965218804	Se	transcript:G11178.1	Sprouty-related, EVH1 domain-containing protein 2	SPRE2	MOUSE	51.639	4.99e-25	PF05210	Sprouty	3.9e-16
G11185	158.554633064114	4.72164939283011	5.5288245713803	3.22383521955281e-08	1.06812108494224e-05	7.40079807684811	6.91478378252561	7.61120551337178	5.01598984388887	4.99296455169526	5.0317171116318	7.04619037756432	7.06417824580361	7.61428180565934	Se	transcript:G11185.1	Papilin	PPN	DROME	39.711	1.04e-80	PF19030	TSP1_ADAMTS	8.5e-13
G11362	62.0212864832075	3.6598693083503	4.28426919296954	1.83340823840706e-05	0.00210918339426746	6.08388777862567	5.87711916900651	6.19656783713872	4.91936359136265	4.91431016586363	4.92292489164234	5.72454108911637	5.93021477439189	5.75597889531679	Se	transcript:G11362.1	F-box only protein 11	FBX11	RAT	74.401	0	PF13229	Beta_helix	3.1e-25
G11367	44.1935337165459	3.61446077881447	3.81259377799199	0.000137516026435601	0.010645282681926	5.43182137718865	5.39022834391246	5.68379254774887	4.70627541658753	4.70317041844087	4.70847279786822	5.53640051217483	5.37622891993845	5.22609666102227	Se	transcript:G11367.1	Probable methyltransferase-like protein 25	MET25	HUMAN	26.596	6.65e-26	PF13679	Methyltransf_32	5.6e-22
G11431	93.9908537814728	3.91535143534805	4.4516485968519	8.52135334456662e-06	0.001227519473966	6.59886635244527	6.48324359427185	6.93531835739482	5.03923939802439	5.02954423648886	5.0460110522642	6.37013720685821	6.06221223788436	6.56083884560481	Se	NA	NA	NA	NA	NA	NA	NA	NA	NA
G11464	73.988794644104	12.3125467755395	3.60128039806348	0.000316653830496175	0.0208991528127475	5.84850495867402	3.84318029049133	3.8640056605064	3.87417271629427	3.86218247556828	3.88241638293742	6.10666556982461	5.95183667568247	3.84823218857472	Se	NA	NA	NA	NA	NA	NA	PF00561	Abhydrolase_1	5.3e-06
